TF,Rule_index,Regulation_type,Target_genes,Target_reactions,TF_category,Base_effect,Evidence,Evidence_modifier,Importance,Importance_modifier,Directness,Direct_modifier,Effect_strength,Notes,Reference
PrpR,1,activation,prpC; prpB,MCITL2; MCITS,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,0.16,PrpR activates propionate utilization,"Horswill AR, Escalante-Semerena JC. Propionate catabolism in Salmonella typhimurium LT2: two divergently transcribed units constitute the prp locus. J Bacteriol. 1999. PMID: 10049384. | Textor S et al. Propionate oxidation in Escherichia coli: evidence for operation of a methylcitrate cycle. Arch Microbiol. 1997. PMID: 9460920."
LldR,1,repression,lldD,L_LACD2,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,1.0,LldR represses lactate utilization; deletion causes constitutive expression,Aguilera L et al. Lactate metabolism and regulation in Escherichia coli: the lldPRD operon. J Bacteriol. 2008. PMID: 18310332.
GlcC,1,activation,glcD; glcE; glcF,GLYCTO2; GLYCTO4,metabolic,0.2,moderate,1.2,peripheral,1.1,direct,1.0,0.264,GlcC activates glycolate oxidation,Pellicer MT et al. Role of the transcriptional activator GlcC in glycolate utilization in Escherichia coli. J Bacteriol. 1999. PMID: 10322027.
TdcA,1,activation,tdcB,THRD_L,metabolic,0.2,strong,1.0,amino_acid,0.95,direct,1.0,0.19,TdcA activates anaerobic threonine degradation,"Schweizer H, Datta P. Transcriptional control of threonine degradation genes in Escherichia coli: TdcA as positive regulator. Mol Gen Genet. 1989. PMID: 2543706."
TdcR,1,activation,tdcB,THRD_L,metabolic,0.2,strong,1.0,amino_acid,0.95,direct,1.0,0.19,TdcR activates anaerobic threonine degradation.,"Schweizer H, Datta P. TdcR and TdcA control anaerobic threonine/serine utilization genes in Escherichia coli. J Bacteriol. 1989."
TorR,1,activation,torA; torC,TMAOR1pp; TMAOR2pp,local,0.4,strong,1.0,energy,0.85,direct,1.0,0.34,TorR activates anaerobic respiration using TMAO as the electron acceptor,"Iobbi-Nivol C et al. TorR, the response regulator of the trimethylamine N-oxide reductase system of Escherichia coli. Mol Microbiol. 1996. PMID: 8609574."
ModE,1,repression,modA; modB; modC,MOBd,metabolic,0.2,strong,1.0,peripheral,1.1,direct,1.0,1.0,ModE regulates molybdate uptake and affects anaerobic respiratory enzymes,McNicholas PM et al. Regulation of molybdate transport and modABCD operon expression in Escherichia coli by ModE. J Bacteriol. 1997. PMID: 9353924.
UxuR,1,repression,uxuA; uxuB,MAN6PI; ALTRH,metabolic,0.2,strong,1.0,peripheral,1.1,direct,1.0,1.0,UxuR represses hexuronate utilization pathways,Blancas A et al. Molecular characterization of the hexuronate regulator UxuR in Escherichia coli. J Bacteriol. 2002.
IdnR,1,activation,idnD; idnO; idnK,IDOND; IDOND2,metabolic,0.2,strong,1.0,peripheral,1.1,direct,1.0,0.22,IdnR activates L-idonate utilization,Bausch C et al. Regulation of L-idonate catabolism in Escherichia coli K-12. J Bacteriol. 1998.
RcsB,1,activation,wcaA; wcaB; wcaC,UAGDP; UAGPT3,stress,0.3,moderate,1.2,peripheral,1.1,direct,1.0,0.396,"RcsB activates capsule polysaccharide synthesis, drawing on cell-wall precursors",Hagiwara D et al. Genome-wide analysis of the Rcs regulon in Escherichia coli. Mol Microbiol. 2003. PMID: 14617174.
AlsR,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,AlsR has limited or unclear direct metabolic regulatory evidence in this curated rule set.,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
BolA,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,BolA has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
CpxR,1,activation,,,local,0.4,weak,1.5,peripheral,1.1,direct,1.0,0.6600000000000001,CpxR has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
CsgD,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,CsgD has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
FlhD,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,FlhD has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
Fis,1,activation,,,global,0.15,weak,1.5,peripheral,1.1,direct,1.0,0.2475,Fis has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
Hns,1,activation,,,global,0.15,weak,1.5,peripheral,1.1,direct,1.0,0.2475,Hns has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
IHFA,1,activation,,,global,0.15,weak,1.5,peripheral,1.1,direct,1.0,0.2475,IHFA has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
IHFB,1,activation,,,global,0.15,weak,1.5,peripheral,1.1,direct,1.0,0.2475,IHFB has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
OmpR,1,activation,,,local,0.4,weak,1.5,peripheral,1.1,direct,1.0,0.6600000000000001,OmpR has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
AscG,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,AscG has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
BasR,1,activation,,,local,0.4,weak,1.5,peripheral,1.1,direct,1.0,0.6600000000000001,BasR has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
ChpB,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,ChpB has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
CreB,1,activation,,,local,0.4,weak,1.5,peripheral,1.1,direct,1.0,0.6600000000000001,CreB has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
Crl,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,Crl has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
CspA,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,CspA has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
EvgA,1,activation,,,local,0.4,weak,1.5,peripheral,1.1,direct,1.0,0.6600000000000001,EvgA has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
FliZ,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,FliZ has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
FrvR,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,FrvR has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
HdfR,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,HdfR has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
LrhA,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,LrhA has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
MarR,1,activation,,,stress,0.3,weak,1.5,peripheral,1.1,direct,1.0,0.495,MarR has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
NsrR,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,NsrR has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
OgrK,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,OgrK has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
PerR,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,PerR has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
PspC,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,PspC has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
QseB,1,activation,,,local,0.4,weak,1.5,peripheral,1.1,direct,1.0,0.6600000000000001,QseB has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
RcsA,1,activation,,,local,0.4,weak,1.5,peripheral,1.1,direct,1.0,0.6600000000000001,RcsA has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
RutR,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,RutR has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
SdiA,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,SdiA has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
SspA,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,SspA has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
UspA,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,UspA has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
UvrY,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,UvrY has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
YbhD,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,YbhD has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
YdeO,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,YdeO has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
YdjF,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,YdjF has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
YfhA,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,YfhA has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
ElbB,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,ElbB has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
FlgM,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,FlgM has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
FliA,1,activation,,,sigma,0.25,weak,1.5,peripheral,1.1,direct,1.0,0.4125,FliA has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
RpoD,1,activation,,,sigma,0.25,weak,1.5,peripheral,1.1,direct,1.0,0.4125,RpoD has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
Rsd,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,Rsd has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
RseA,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,RseA has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
RseB,1,activation,,,unknown,0.35,weak,1.5,peripheral,1.1,direct,1.0,0.5774999999999999,RseB has minimal or unknown impact on central metabolism,Santos-Zavaleta A et al. RegulonDB v12.0: a comprehensive resource of transcriptional regulation in Escherichia coli K-12. Nucleic Acids Res. 2024;52(D1):D255-D264. | Keseler IM et al. The EcoCyc database. Nucleic Acids Res. 2025. PMID: 40304522.
